Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,size_range,Independientes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,1,2,74,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680000,3,3,214,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442327,2,0,91,Q1 - Small,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,999500,3,5,193,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1330000,3,5,238,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200000,2,3,243,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,780000,2,2,117,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1950000,4,3,175,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,750000,2,4,146,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529900,1,2,88,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,695000,2,2,141,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2575000,4,4,215,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,993000,2,4,165,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,515000,1,2,78,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1200000,2,4,174,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1200000,2,3,140,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2100000,3,3,315,Q4 - Very Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,680000,1,2,99,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,550000,2,2,88,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529900,1,2,88,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,720000,2,2,87,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1575000,2,2,189,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1550000,2,7,272,Q4 - Very Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,790000,1,1,62,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3600000,4,5,360,Q4 - Very Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,345000,1,1,55,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,260000,1,1,60,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,690000,2,3,113,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,309000,1,1,45,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1175000,3,4,171,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1575000,2,2,209,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,3,3,115,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,598000,1,3,112,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,520000,3,2,111,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1720000,5,4,221,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2290000,4,3,184,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,890000,3,3,118,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1385000,2,2,166,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1760000,2,3,145,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,2,3,133,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900000,2,4,173,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1100000,2,2,160,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,3,3,133,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1690000,2,3,133,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,495000,1,1,98,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2600000,4,3,382,Q4 - Very Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,640000,2,2,100,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,580000,1,4,139,Q2 - Medium,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,829000,3,3,102,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1145000,2,4,224,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1175000,3,3,165,Q3 - Large,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,2,2,88,Q1 - Small,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500000,2,2,99,Q1 - Small,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1650000,3,3,248,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,950000,3,3,154,Q2 - Medium,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1500000,2,2,168,Q3 - Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2100000,7,6,334,Q4 - Very Large,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,575000,2,3,105,Q2 - Medium,0
